COMUNIDAD;CIGARRILLOS2019;CIGARROS2019;P. LIAR2019;P. PIPA2019;TOTALES2019;CIGARRILLOS2018;CIGARROS2018;P. LIAR2018;P. PIPA2018;TOTALES2018
Andalucía;1.645.017.237;61.066.314;161.006.303;35.906.095;1.902.995.948;1.599.326.882;61.471.264;152.828.472;26.031.251;1.839.657.868
Aragón;320.195.580;17.204.588;27.238.745;2.709.738;367.348.652;321.626.565;17.785.814;26.731.782;1.975.295;368.119.456
Asturias (Principado de);235.865.552;14.972.304;18.036.688;1.956.007;270.830.551;242.619.326;15.724.751;18.419.634;1.423.138;278.186.850
Balears (Illes);398.326.470;14.229.465;55.175.291;6.132.960;473.864.186;406.311.721;14.849.932;53.654.471;3.759.448;478.575.572
Cantabria;138.021.241;9.206.642;11.053.204;999.307;159.280.394;140.411.619;9.549.743;11.003.391;700.446;161.665.199
Castilla y León;531.146.944;36.270.475;41.388.639;4.851.731;613.657.789;539.361.109;37.670.925;41.731.470;3.808.766;622.572.271
Castilla-La Mancha;464.294.964;18.416.125;37.603.185;4.733.168;525.047.442;461.343.706;18.813.918;37.823.211;3.715.020;521.695.856
Cataluña;1.950.334.622;91.029.835;245.236.608;30.837.450;2.317.438.514;1.921.356.169;92.101.864;232.671.731;18.144.874;2.264.274.637
Comunidad Valenciana;1.245.592.641;47.883.875;161.459.679;20.727.891;1.475.664.086;1.246.499.143;48.388.617;155.406.472;14.925.270;1.465.219.502
Extremadura;241.175.330;10.911.577;19.765.258;3.005.235;274.857.399;241.091.160;11.336.655;19.551.795;2.238.164;274.217.775
Galicia;562.922.248;27.847.490;46.529.202;4.089.835;641.388.775;571.963.422;28.531.697;46.837.146;2.902.805;650.235.071
Madrid (Comunidad de);1.285.391.598;48.795.138;109.549.491;27.443.738;1.471.179.963;1.298.927.749;48.755.958;108.430.057;18.030.202;1.474.143.967
Murcia (Región de);349.044.023;11.249.523;28.563.295;5.337.218;394.194.059;353.060.790;11.470.999;28.239.774;3.527.217;396.298.780
Navarra (Comunidad Foral de);219.386.189;12.611.210;24.611.854;1.292.544;257.901.798;211.383.270;12.425.679;21.969.700;919.677;246.698.326
País Vasco;542.951.680;42.131.196;46.588.928;4.813.016;636.484.819;538.940.666;42.815.740;42.609.382;2.658.304;627.024.092
Rioja (La);71.489.661;6.381.706;4.627.460;460.634;82.959.461;72.773.626;6.549.154;4.671.759;377.817;84.372.356