COMUNIDAD;CIGARRILLOS2021;CIGARROS2021;P. LIAR2021;P. PIPA2021;TOTALES2021;CIGARRILLOS2020;CIGARROS2020;P. LIAR2020;P. PIPA2020;TOTALES2020
Andalucía;1.613.377.222;60.185.428;179.659.325;53.068.679;1.906.290.653;1.557.635.652;57.042.106;177.917.783;49.607.799;1.842.203.340
Aragón;301.117.280;15.688.156;29.749.382;3.766.575;350.321.393;303.195.738;16.169.583;30.049.425;3.561.487;352.976.234
Asturias (Principado de);223.548.009;13.921.347;19.938.825;2.737.573;260.145.753;226.460.831;14.373.165;20.338.429;2.613.345;263.785.771
Balears (Illes);281.853.738;12.673.714;42.063.128;9.437.396;346.027.976;254.377.925;10.911.739;38.756.331;5.865.474;309.911.470
Cantabria;130.529.401;8.556.671;12.006.224;1.444.046;152.536.342;130.428.830;8.692.502;12.127.016;1.290.968;152.539.316
Castilla y León;508.366.880;33.781.817;45.745.768;6.419.900;594.314.364;502.386.951;33.638.812;46.142.767;6.276.611;588.445.139
Castilla-La Mancha;461.225.441;17.686.316;42.895.707;7.204.110;529.011.574;451.868.568;17.963.352;43.992.495;6.714.642;520.539.057
Cataluña;1.838.344.738;89.050.368;263.342.889;57.392.701;2.248.130.696;1.747.713.905;84.343.306;252.090.770;47.921.215;2.132.069.196
Comunidad Valenciana;1.100.434.461;45.584.839;139.369.135;30.373.642;1.315.762.076;1.101.108.156;44.436.284;149.362.226;27.019.806;1.321.926.472
Extremadura;232.639.909;10.194.114;22.631.376;4.461.809;269.927.208;229.157.329;10.459.093;23.146.961;4.301.647;267.065.029
Galicia;532.394.369;25.740.261;52.758.371;5.950.170;616.843.170;537.840.815;26.129.447;52.203.235;5.409.120;621.582.616
Madrid (Comunidad de);1.204.441.971;51.863.341;120.380.028;48.058.298;1.424.743.638;1.200.446.763;48.543.474;120.151.150;38.828.116;1.407.969.503
Murcia (Región de);333.967.596;11.006.619;30.005.744;9.290.612;384.270.571;329.414.383;10.757.049;30.761.404;7.872.151;378.804.987
Navarra (Comunidad Foral de);217.795.290;12.344.988;28.617.024;1.950.553;260.707.855;195.073.196;11.390.662;24.339.308;1.565.951;232.369.117
País Vasco;494.989.491;39.029.167;47.545.584;6.644.684;588.208.926;502.684.921;37.989.330;47.506.712;6.504.332;594.685.295
Rioja (La);68.767.783;5.820.107;5.266.514;686.632;80.541.036;68.453.979;5.987.993;5.282.465;601.981;80.326.418